五段动词,平假名,释义,自他性,否定,丁寧,辞書,条件,意向,て,過去,過去否定,被动,使役,可能,命令
上がる,あがる,"to rise, to go up",i,上がらない,上がります,上がる,上がれば,上がろう,上がって,上がった,上がらなかった,上がられる,上がらせる,上がれる,上がれ
開く,あく,to open,i,開かない,開きます,開く,開けば,開こう,開いて,開いた,開かなかった,開かれる,開かせる,開ける,開け
空く,あく,to become empty,i,空かない,空きます,空く,空けば,空こう,空いて,空いた,空かなかった,空かれる,空かせる,空ける,空け
余る,あまる,"to be left over, to remain",i,余らない,余ります,余る,余れば,余ろう,余って,余った,余らなかった,余られる,余らせる,余れる,余れ
争う,あらそう,"to fight, to compete",t,争わない,争います,争う,争えば,争おう,争って,争った,争わなかった,争われる,争わせる,争える,争え
洗う,あらう,to wash,t,洗わない,洗います,洗う,洗えば,洗おう,洗って,洗った,洗わなかった,洗われる,洗わせる,洗える,洗え
表す,あらわす,"to show, to express",t,表さない,表します,表す,表せば,表そう,表して,表した,表さなかった,表される,表させる,表せる,表せ
著す,あらわす,to write,t,著さない,著します,著す,著せば,著そう,著して,著した,著さなかった,著される,著させる,著せる,著せ
ある,ある,"to be, to have",i,ない,あります,ある,あれば,（あろう）,あって,あった,なかった,,,,（あれ）
歩く,あるく,to walk,i,歩かない,歩きます,歩く,歩けば,歩こう,歩いて,歩いた,歩かなかった,歩かれる,歩かせる,歩ける,歩け
あさる,あさる,"to hunt for, to scavenge",t,あさらない,あさります,あさる,あされば,あさろう,あさって,あさった,あさらなかった,あさられる,あさらせる,あされる,あされ
遊ぶ,あそぶ,"to play, to enjoy onself",i,遊ばない,遊びます,遊ぶ,遊べば,遊ぼう,遊んで,遊んだ,遊ばなかった,遊ばれる,遊ばせる,遊べる,遊べ
当たる,あたる,"to hit, to strike, to shine upon",i,当たらない,当たります,当たる,当たれば,当たろう,当たって,当たった,当たらなかった,当たられる,当たらせる,当たれる,当たれ
暖まる,あたたまる,to warm up,i,暖まらない,暖まります,暖まる,暖まれば,暖まろう,暖まって,暖まった,暖まらなかった,暖まられる,暖まらせる,暖まれる,暖まれ
扱う,あつかう,"to handle, to deal",t,扱わない,扱います,扱う,扱えば,扱おう,扱って,扱った,扱わなかった,扱われる,扱わせる,扱える,扱え
集まる,あつまる,"to assemble, to get together",i,集まらない,集まります,集まる,集まれば,集まろう,集まって,集まった,集まらなかった,集まられる,集まらせる,集まれる,集まれ
会う,あう,to meet,i,会わない,会います,会う,会えば,会おう,会って,会った,会わなかった,会われる,会わせる,会える,会え
合う,あう,"to match, to fit",i,合わない,合います,合う,合えば,合おう,合って,合った,合わなかった,合われる,合わせる,合える,合え
謝る,あやまる,to apologize,t,謝らない,謝ります,謝る,謝れば,謝ろう,謝って,謝った,謝らなかった,謝られる,謝らせる,謝れる,謝れ
誤る,あやまる,"to make a mistake, to err",t,誤らない,誤ります,誤る,誤れば,誤ろう,誤って,誤った,誤らなかった,誤られる,誤らせる,誤れる,誤れ
預かる,あずかる,to keep,t,預からない,預かります,預かる,預かれば,預かろう,預かって,預かった,預からなかった,預かられる,預からせる,預かれる,預かれ
ぶつかる,ぶつかる,"to hit, to bump",i,ぶつからない,ぶつかります,ぶつかる,ぶつかれば,ぶつかろう,ぶつかって,ぶつかった,ぶつからなかった,ぶつかられる,ぶつからせる,ぶつかれる,ぶつかれ
違う,ちがう,"to differ, to be wrong",i,違わない,違います,違う,違えば,違おう,違って,違った,違わなかった,違われる,違わせる,違える,違え
