dictionary,hiragana,meaning,type,transitivity,te,past,negative,negativePast,polite,potential,passive,causative,causativePassive,conditional,imperative,volitional,prohibitive,lesson
有る,ある,存在(无生命)；有,五段动词,自动词,あって,あった,あらない,あらなかった,あります,-,-,-,-,あれば,あれ,あろう,あるな,104
居る,いる,存在(有生命)；在,一段动词,自动词,いて,いた,いない,いなかった,います,いられる,いられる,いさせる,いさせられる,いれば,いろ,いよう,いるな,104
休む,やすむ,休息,五段动词,自动词,休んで,休んだ,休まない,休まなかった,休みます,休める,休まれる,休ませる,休ませられる,休めば,休め,休もう,休むな,105
働く,はたらく,工作,五段动词,自动词,働いて,働いた,働かない,働かなかった,働きます,働ける,働かれる,働かせる,働かせられる,働けば,働け,働こう,働くな,105
始まる,はじまる,开始,五段动词,自动词,始まって,始まった,始まらない,始まらなかった,始まります,-,-,-,-,始まれば,-,始まろう,始まるな,105
終わる,おわる,结束,五段动词,自动词,終わって,終わった,終わらない,終わらなかった,終わります,-,-,-,-,終われば,-,終わろう,終わるな,105
起きる,おきる,起床；发生,一段动词,自动词,起きて,起きた,起きない,起きなかった,起きます,起きられる,-,起きさせる,起きさせられる,起きれば,起きろ/起きよ,起きよう,起きるな,105
寝る,ねる,睡觉,一段动词,自动词,寝て,寝た,寝ない,寝なかった,寝ます,寝られる,-,寝させる,寝させられる,寝れば,寝ろ/寝よ,寝よう,寝るな,105
勉強する,べんきょうする,学习,不规则动词,他动词,勉強して,勉強した,勉強しない,勉強しなかった,勉強します,勉強できる,勉強される,勉強させる,勉強させられる,勉強すれば,勉強しろ/勉強せよ,勉強しよう,勉強するな,105
行く,いく,去,五段动词,自动词,行って,行った,行かない,行かなかった,行きます,行ける,行かれる,行かせる,行かせられる,行けば,行け,行こう,行くな,106
帰る,かえる,返回，回家,五段动词,自动词,帰って,帰った,帰らない,帰らなかった,帰ります,帰れる,帰られる,帰らせる,帰らせられる,帰れば,帰れ,帰ろう,帰るな,106
来る,くる,来,不规则动词,自动词,来(き)て,来(き)た,来(こ)ない,来(こ)なかった,来(き)ます,来(こ)られる,来(こ)られる,来(こ)させる,来(こ)させられる,来(く)れば,来(こ)い,来(こ)よう,来(く)るな,106
飲む,のむ,喝,五段动词,他动词,飲んで,飲んだ,飲まない,飲まなかった,飲みます,飲める,飲まれる,飲ませる,飲ませられる,飲めば,飲め,飲もう,飲むな,107
買う,かう,买,五段动词,他动词,買って,買った,買わない,買わなかった,買います,買える,買われる,買わせる,買わせられる,買えば,買え,買おう,買うな,107
撮る,とる,拍摄,五段动词,他动词,撮って,撮った,撮らない,撮らなかった,撮ります,撮れる,撮られる,撮らせる,撮らせられる,撮れば,撮れ,撮ろう,撮るな,107
書く,かく,写,五段动词,他动词,書いて,書いた,書かない,書かなかった,書きます,書ける,書かれる,書かせる,書かせられる,書けば,書け,書こう,書くな,107
読む,よむ,读,五段动词,他动词,読んで,読んだ,読まない,読まなかった,読みます,読める,読まれる,読ませる,読ませられる,読めば,読め,読もう,読むな,107
聞く,きく,听；问,五段动词,他动词,聞いて,聞いた,聞かない,聞かなかった,聞きます,聞ける,聞かれる,聞かせる,聞かせられる,聞けば,聞け,聞こう,聞くな,107
食べる,たべる,吃,一段动词,他动词,食べて,食べた,食べない,食べなかった,食べます,食べられる,食べられる,食べさせる,食べさせられる,食べれば,食べろ,食べよう,食べるな,107
